a-vorto; adjective
abako; abacus
abandoni; relinquish
abandono; relinquishment
abasido; Abbasid
abaso; Abbas
abata; abbatial
abateja; abbatial
abatejo; abbey
abatinejo; abbey
abatino; abbess <g>pers</g>
abato; abbot <g>pers</g>, abbott
abdiki; abdicate, resign
abdiko; abdication
abdomena; abdominal
abdomeno; abdomen
abeledoj; Apidae
abelejo; apiary
abelisto; beekeeper <g>pers</g>, bee-keeper <g>pers</g>
abelo; bee, Abel <g>pers</g>
abelreĝino; queen
abelujo; hive, beehive, bee-hive
abelvakso; beeswax
aberacio; aberration
abio; fir
abisma; abysmal, pitiful
abismo; abyss, chasm
abituriento; high-school graduate, G.E.D. holder
ablacio; ablation
ablativo; ablative
abnegacii; deny oneself, abnegate
abnegacio; abnegation, renunciation
aboco; alphabet, ABC
aboli; abolish, abrogate
abolicii; abrogate, abolish
abolo; abrogation, abolition
abomena; vile, monstrous, unspeakable, atrocious, appalling, heinous, dreary, nasty, hideous, ghastly, odious, revolting, abominable, loathsome, detestable
abomenaĵo; atrocity, abomination <g>pers</g>
abomene; disgusting
abomeni; loathe, abominate, abhor, detest
abomenigi; deter, disgust, repel
abomeninda; loathsome, detestable, revolting, odious, abominable, hideous, abhorrent, horrible, awful, gruesome
abomenindaĵo; atrocity, horror, abomination <g>pers</g>
abomeninde; hateful, detestable, abominably
abomeno; loathing, abhorrence, horror, abomination <g>pers</g>, disgust
abonanto; subscriber
aboni; subscribe
abonilo; form
abono; subscription
aborigeno; aboriginal <g>pers</g>, native <g>pers</g>
aborti; abort, miscarry
abortigi; abort
abortigo; abortion
aborto; abortion, miscarriage
abrikotarbo; apricot (tree), apricot (tree)
abrikoto; apricot
abrikotujo; apricot (tree), apricot (tree)
abrotano; lads love, old man <g>pers</g>, southern wormwood, lad's love, lad's love
abrupta; sudden, abrupt
abrupte; shortly, abruptly
abrupteco; rudeness
absceso; abcess, abscess
absciso; abscissa, x-coordinate
absido; apse
absintaĵo; absinthe
absinto; wormwood, absinthe
absoluta; absolute
absolutamonopolo; absolute monopoly
absolutavaloro; absolute value
absolute; absolutely
absolutekonverĝa; absolutely convergent
absolutismo; absolutism, authoritarianism
absolvi; absolve
absolvo; absolution
absorba; absorbent, gripping
absorbi; preoccupy, occupy, engross, absorb
absorbiĝi; be absorbed, be engrossed, absorb
absorbo; absorption
abstinado; abstinence, abstention, fast
abstinenco; abstinence, teetotalism
abstinenculo; total abstainer
abstini; abstain
abstrakta; abstract
abstraktaĵo; abstraction
